Character,NFD Code Points,NFC Code Points
"oˈo","U+006F U+02C8 U+006F","U+006F U+02C8 U+006F"
"oy","U+006F U+0079","U+006F U+0079"
"ooy","U+006F U+006F U+0079","U+006F U+006F U+0079"
"pˈ","U+0070 U+02C8","U+0070 U+02C8"
"tˈ","U+0074 U+02C8","U+0074 U+02C8"
"tsˈ","U+0074 U+0073 U+02C8","U+0074 U+0073 U+02C8"
"uˈu","U+0075 U+02C8 U+0075","U+0075 U+02C8 U+0075"
"üˈü","U+0075 U+0308 U+02C8 U+0075 U+0308","U+00FC U+02C8 U+00FC"
"ˈw","U+02C8 U+0077","U+02C8 U+0077"
"ˈẅ","U+02C8 U+0077 U+0308","U+02C8 U+1E85"
"ˈy","U+02C8 U+0079","U+02C8 U+0079"
"xw'","U+0078 U+0077 U+0027","U+0078 U+0077 U+0027"
"ddh","U+0064 U+0064 U+0068","U+0064 U+0064 U+0068"
"dh","U+0064 U+0068","U+0064 U+0068"
"ghw","U+0067 U+0068 U+0077","U+0067 U+0068 U+0077"
"khw","U+006B U+0068 U+0077","U+006B U+0068 U+0077"
"kʼw","U+006B U+02BC U+0077","U+006B U+02BC U+0077"
"mb","U+006D U+0062","U+006D U+0062"
"nd","U+006E U+0064","U+006E U+0064"
"nj","U+006E U+006A","U+006E U+006A"
"tthʼ","U+0074 U+0074 U+0068 U+02BC","U+0074 U+0074 U+0068 U+02BC"
"ä","U+0061 U+0308","U+00E4"
"ą̈","U+0061 U+0328 U+0308","U+0105 U+0308"
"ą̈w","U+0061 U+0328 U+0308 U+0077","U+0105 U+0308 U+0077"
"ąw","U+0061 U+0328 U+0077","U+0105 U+0077"
"ąy","U+0061 U+0328 U+0079","U+0105 U+0079"
"äy","U+0061 U+0308 U+0079","U+00E4 U+0079"
"ą̈y","U+0061 U+0328 U+0308 U+0079","U+0105 U+0308 U+0079"
"ų̈","U+0075 U+0328 U+0308","U+0173 U+0308"
"dẕ","U+0064 U+007A U+0331","U+0064 U+1E95"
"nh","U+006E U+0068","U+006E U+0068"
"s̱","U+0073 U+0331","U+0073 U+0331"
"ts̱","U+0074 U+0073 U+0331","U+0074 U+0073 U+0331"
"ts̱’","U+0074 U+0073 U+0331 U+2019","U+0074 U+0073 U+0331 U+2019"
"c̓h","U+0063 U+0313 U+0068","U+0063 U+0313 U+0068"
"t̓h","U+0074 U+0313 U+0068","U+0074 U+0313 U+0068"
"t̓l","U+0074 U+0313 U+006C","U+0074 U+0313 U+006C"
"x̌w","U+0078 U+030C U+0077","U+0078 U+030C U+0077"
"áa","U+0061 U+0301 U+0061","U+00E1 U+0061"
"ei","U+0065 U+0069","U+0065 U+0069"
"éi","U+0065 U+0301 U+0069","U+00E9 U+0069"
"ée","U+0065 U+0301 U+0065","U+00E9 U+0065"
"k’w","U+006B U+2019 U+0077","U+006B U+2019 U+0077"
"ḵ’","U+006B U+0331 U+2019","U+1E35 U+2019"
"ḵ’w","U+006B U+0331 U+2019 U+0077","U+1E35 U+2019 U+0077"
"l’","U+006C U+2019","U+006C U+2019"
"s’","U+0073 U+2019","U+0073 U+2019"
"óo","U+006F U+0301 U+006F","U+00F3 U+006F"
"o̱o","U+006F U+0331 U+006F","U+006F U+0331 U+006F"
"ó̱o","U+006F U+0331 U+0301 U+006F","U+00F3 U+0331 U+006F"
"x’","U+0078 U+2019","U+0078 U+2019"
"x’w","U+0078 U+2019 U+0077","U+0078 U+2019 U+0077"
"x̱’","U+0078 U+0331 U+2019","U+0078 U+0331 U+2019"
"x̱’w","U+0078 U+0331 U+2019 U+0077","U+0078 U+0331 U+2019 U+0077"
"ąą","U+0061 U+0328 U+0061 U+0328","U+0105 U+0105"
"ae","U+0061 U+0065","U+0061 U+0065"
"ea","U+0065 U+0061","U+0065 U+0061"
"ęą","U+0065 U+0328 U+0061 U+0328","U+0119 U+0105"
"wą","U+0077 U+0061 U+0328","U+0077 U+0105"
"waa","U+0077 U+0061 U+0061","U+0077 U+0061 U+0061"
"wąą","U+0077 U+0061 U+0328 U+0061 U+0328","U+0077 U+0105 U+0105"
"we","U+0077 U+0065","U+0077 U+0065"
"wea","U+0077 U+0065 U+0061","U+0077 U+0065 U+0061"
"węą","U+0077 U+0065 U+0328 U+0061 U+0328","U+0077 U+0119 U+0105"
"wi","U+0077 U+0069","U+0077 U+0069"
"wii","U+0077 U+0069 U+0069","U+0077 U+0069 U+0069"
"e̱","U+0065 U+0331","U+0065 U+0331"
"i̱","U+0069 U+0331","U+0069 U+0331"
"o̱","U+006F U+0331","U+006F U+0331"
"o̱o̱","U+006F U+0331 U+006F U+0331","U+006F U+0331 U+006F U+0331"
"u̱","U+0075 U+0331","U+0075 U+0331"
"ɨ","U+0268","U+0268"
"dẑ","U+0064 U+007A U+0302","U+0064 U+1E91"
"tŝ","U+0074 U+0073 U+0302","U+0074 U+015D"
"tŝ’","U+0074 U+0073 U+0302 U+2019","U+0074 U+015D U+2019"
"ŝ","U+0073 U+0302","U+015D"
"ẑ","U+007A U+0302","U+1E91"
"gg","U+0067 U+0067","U+0067 U+0067"
"ggw","U+0067 U+0067 U+0077","U+0067 U+0067 U+0077"
"ŵ","U+0077 U+0302","U+0175"
"c’","U+0063 U+2019","U+0063 U+2019"
"ë","U+0065 U+0308","U+00EB"
"ï","U+0069 U+0308","U+00EF"
"əm","U+0259 U+006D","U+0259 U+006D"
"ə̀m","U+0259 U+0300 U+006D","U+0259 U+0300 U+006D"
"ən","U+0259 U+006E","U+0259 U+006E"
"ə̀n","U+0259 U+0300 U+006E","U+0259 U+0300 U+006E"
"əl","U+0259 U+006C","U+0259 U+006C"
"ə̀l","U+0259 U+0300 U+006C","U+0259 U+0300 U+006C"
"úu","U+0075 U+0301 U+0075","U+00FA U+0075"
"i:","U+0069 U+003A","U+0069 U+003A"
"e:","U+0065 U+003A","U+0065 U+003A"
"u:","U+0075 U+003A","U+0075 U+003A"
"o:","U+006F U+003A","U+006F U+003A"
"a:","U+0061 U+003A","U+0061 U+003A"
